Order Date,QB Num,P. O. #,Name,Qty(+),Item,Inventory Site,Deliv Date
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,1.0,Cblkit-M12-SEMIL2000,WH01S-NTA,
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,2.0,DDR5-32GB-48WT-SM,WH01S-NTA,
2025/09/26,POD-251371,,Neousys Technology Incorp.,10.0,PCIe-PoE550X,WH01S-NTA,
2025/09/30,POD-251378,SO-20251367,Neousys Technology Incorp.,10.0,DDR4-32GB-WT32-SM,WH01S-NTA,
2025/09/30,POD-251378,SO-20251367,Neousys Technology Incorp.,10.0,Wmkit-POC465AWP,WH01S-NTA,
2025/09/30,POD-251378,SO-20251367,Neousys Technology Incorp.,10.0,Cblkit-M12-POC-465AWP,WH01S-NTA,
2025/09/30,POD-251378,SO-20251367,Neousys Technology Incorp.,10.0,M.280-SSD-1TB-SATA-TLC5WT-TD,WH01S-NTA,
2025/09/30,POD-251378,SO-20251367,Neousys Technology Incorp.,10.0,POC-465AWP,WH01S-NTA,
2025/09/30,POD-251379,SO-20251368,Neousys Technology Incorp.,30.0,Cblkit-M12-POC-465AWP,WH01S-NTA,
2025/09/30,POD-251379,SO-20251368,Neousys Technology Incorp.,30.0,DDR4-32GB-WT32-SM,WH01S-NTA,
2025/09/30,POD-251379,SO-20251368,Neousys Technology Incorp.,30.0,M.280-SSD-1TB-SATA-TLC5WT-TD,WH01S-NTA,
2025/09/30,POD-251379,SO-20251368,Neousys Technology Incorp.,30.0,Wmkit-POC465AWP,WH01S-NTA,
2025/09/30,POD-251379,SO-20251368,Neousys Technology Incorp.,30.0,POC-465AWP,WH01S-NTA,
2025/09/30,POD-251380,,Neousys Technology Incorp.,2.0,Nuvo-10208GC,WH01S-NTA,
2025/09/30,POD-251380,,Neousys Technology Incorp.,35.0,GC-RTX2000Ada-Nvidia,WH01S-NTA,
2025/09/30,POD-251381,,Neousys Technology Incorp.,3.0,POC-712-UL,WH01S-NTA,
2025/09/30,POD-251381,,Neousys Technology Incorp.,3.0,DDR5-8GB-56-SM,WH01S-NTA,
2025/09/30,POD-251382,,Neousys Technology Incorp.,2.0,AC-IMX390-H120,WH01S-NTA,
2025/09/30,POD-251382,,Neousys Technology Incorp.,1.0,AC-IMX390-H60,WH01S-NTA,
2025/09/30,POD-251383,,Neousys Technology Incorp.,10.0,mPCIe-M2E,WH01S-NTA,
2025/09/30,POD-251383,,Neousys Technology Incorp.,20.0,Ant-RP_SMAM-WiFi-108MM,WH01S-NTA,
2025/09/30,POD-251383,,Neousys Technology Incorp.,5.0,M.230-BTWIFI-AX210,WH01S-NTA,
2025/09/30,POD-251383,,Neousys Technology Incorp.,10.0,PCIe-PoE352at,WH01S-NTA,
2025/09/30,POD-251383,,Neousys Technology Incorp.,10.0,MezIO-V20,WH01S-NTA,
2025/09/30,POD-251384,,Neousys Technology Incorp.,6.0,POC-712,WH01S-NTA,
2025/09/30,POD-251385,,Neousys Technology Incorp.,3.0,NRU-52S-NX16G,WH01S-NTA,
2025/09/30,POD-251385,,Neousys Technology Incorp.,3.0,Wmkit-NRU-50,WH01S-NTA,
2025/09/30,POD-251388,A250298,PhyTools,2.0,mPCIe-CAN-IPEH-3049,WH01S-NTA,
2025/09/30,POD-251389,A250299,"Newegg Business, Inc.",3.0,i7-12700,WH01S-NTA,
2025/09/30,POD-251389,A250299,"Newegg Business, Inc.",3.0,FAN-CPU-RM1,WH01S-NTA,
2025/09/30,POD-251390,A250300,"Kontron America, Inc.",5.0,Win10IoT21-Entry,WH01S-NTA,
2025/09/30,POD-251391,A250301,"Kontron America, Inc.",5.0,Win10IoT21-Entry,WH01S-NTA,
2025/09/30,POD-251393,A250302,Genoedge Corporation DBA SabrePC.COM,8.0,GC-RTX4000SFFAda-PNY,WH01S-NTA,
2025/10/01,POD-251394,,Neousys Technology Incorp.,10.0,TB-3Pole-Push,WH01S-NTA,
2025/10/01,POD-251394,,Neousys Technology Incorp.,5.0,Nuvo-9006DE-PoE-UL,WH01S-NTA,
