Order Date,Ship Date,QB Num,P. O. #,Name,Qty(+),Qty(-),Item,Inventory Site,Remark,Pre/Bare
2025/09/30,2025/10/29,SO-20251395,7000620183,Boston Scientific,0,4.0,Dust Cover-COM,WH01S-NTA,,Out
2025/09/30,2025/10/29,SO-20251394,7000619548,Boston Scientific,0,8.0,Dust Cover-COM,WH01S-NTA,,Out
2025/09/30,2025/10/31,SO-20251397,452186,PaR SYSTEMS LLC,0,4.0,Dust Cover-COM,WH01S-NTA,,Out
2025/09/30,2025/10/31,SO-20251398,452186,PaR SYSTEMS LLC,0,4.0,Dust Cover-COM,WH01S-NTA,,Out
2025/09/30,2025/10/31,SO-20251399,452186,PaR SYSTEMS LLC,0,4.0,Dust Cover-COM,WH01S-NTA,,Out
2025/10/01,2025/10/31,SO-20251401,310P063344,"Flanders Electric Motor Service, LLC(IN)",0,8.0,Dust Cover-COM,WH01S-NTA,,Out
2025/10/01,2025/10/29,SO-20251410,PO18432,IRD- International Road Dynamics Inc.,0,6.0,Dust Cover-COM,WH01S-NTA,,Out
2025/10/07,2025/10/31,SO-20251435,310P063432,"Flanders Electric Motor Service, LLC(IN)",0,16.0,Dust Cover-COM,WH01S-NTA,,Out
2025/09/29,2025/10/31,SO-20251381,PO18348,IRD- International Road Dynamics Inc.,0,3.0,Dust Cover-DB15,WH01S-NTA,,Out
2025/09/10,2025/10/24,SO-20251287,PO18173,IRD- International Road Dynamics Inc.,0,1.0,Dust Cover-DB25,WH01S-NTA,,Out
2025/10/01,2025/10/29,SO-20251410,PO18432,IRD- International Road Dynamics Inc.,0,3.0,Dust Cover-DB25,WH01S-NTA,,Out
2025/09/03,2025/10/20,SO-20251250,7000610874,Boston Scientific,0,1.0,Dust Cover-DP,WH01S-NTA,,Out
2025/09/09,2025/10/21,SO-20251283,7000612884,Boston Scientific,0,3.0,Dust Cover-DP,WH01S-NTA,,Out
2025/09/16,2025/10/31,SO-20251311,14666,The Alliance,0,20.0,Dust Cover-DP,WH01S-NTA,,Out
2025/09/18,2025/10/15,SO-20251324,7000615510,Boston Scientific,0,1.0,Dust Cover-DP,WH01S-NTA,,Out
2025/09/18,2025/10/24,SO-20251325,7000615802,Boston Scientific,0,4.0,Dust Cover-DP,WH01S-NTA,,Out
2025/09/19,2025/12/31,SO-20251333,08000,Monteris Medical,0,5.0,Dust Cover-DP,WH01S-NTA,,Out
2025/09/30,2025/10/29,SO-20251393,7000618386,Boston Scientific,0,1.0,Dust Cover-DP,WH01S-NTA,,Out
